nume,prenume,CNP,id_candidat,medie_Bac,medie_proba_obligatorie,medie_proba_optionala,medie_examen,profil_liceu
Nițu,Mihaela,6010110146038,10,9.987837381322022,8.019679470739971,8.409715532088601,8.214697501414285,Matematica-Informatica
Tabacu,Parascheva,2970318505141,12,7.74122196017381,8.032206597611909,7.528490115175874,7.780348356393891,Matematica-Informatica
Nițu,Ionut,1980907113885,14,9.02177764033505,8.230516688644855,9.229583213754138,8.730049951199497,Matematica-Informatica
Dinescu,Teodor,5010228183394,16,8.289052821921224,8.868246111560076,7.605985179799865,8.237115645679971,Matematica-Informatica
Constantinescu,Marian,1980313095384,18,8.490477520973677,9.887910902781094,9.58179473423768,9.734852818509388,Stiinte ale naturii
Toma,Ionela,6020117284830,20,8.637757376797449,7.566143950331509,8.382623308212347,7.974383629271928,Matematica-Informatica
Barbu,Constantin,1971214165593,22,8.447608634809269,7.993046425043275,7.621289421731995,7.8071679233876345,Matematica-Informatica
Popescu,George,1970222418904,24,8.972634288209397,9.90769767248009,9.928331313328956,9.918014492904522,Matematica-Informatica
Tabacu,Alexandra,6010602401031,26,8.366748917452188,7.855522358515083,9.137676753384845,8.496599555949963,Matematica-Informatica
Lupu,Teodora,2970812438778,28,8.23625075740649,9.206010773759534,8.647155402851801,8.926583088305668,Matematica-Informatica
Stănescu,George,1990301373559,30,7.701046753784273,7.804335547473192,8.960130346800605,8.382232947136899,Matematica-Informatica
Ioniță,George,5020317412767,32,9.075147915706214,9.504115052529482,8.202890999916562,8.853503026223022,Matematica-Informatica
Barbu,Mihail,1970308055835,34,8.592773157106881,9.08559609309971,9.614109445070081,9.349852769084896,Matematica-Informatica
Andreescu,Gabriela,6021202475339,36,9.839078658314895,8.38279982142355,7.964026791842329,8.17341330663294,Stiinte ale naturii
Marin,Florentina,6020118456711,38,9.264097982110869,7.704740081903183,7.923460808055314,7.814100444979248,Matematica-Informatica
Popa,Ionela,2990513274171,40,8.867018025629879,9.876440560495515,9.503269700047968,9.689855130271742,Matematica-Informatica
Teodorescu,Constantin,1991007334950,42,8.425471651612154,8.423895621266725,9.704358943543863,9.064127282405295,Matematica-Informatica
Pușcașu,Cristian,5010911424076,44,8.81525223600971,9.138285531252508,9.386359707459079,9.262322619355793,Matematica-Informatica
Munteanu,Parascheva,2981209148337,46,7.864559509486107,8.91513611152084,8.258391157380103,8.58676363445047,Matematica-Informatica
Munteanu,Gabriela,6010116242477,48,8.860835206312398,8.318551865432635,9.331572902913036,8.825062384172835,Stiinte ale naturii
Moisescu,Andreea,6020727342911,50,8.987005646104757,8.2742831397745,8.34019477658159,8.307238958178045,Matematica-Informatica
Iancu,Ionut,1990511067895,52,7.6533825304934675,8.872246501489922,8.071594865096372,8.471920683293147,Matematica-Informatica
Gheorghiu,Mihail,5021130055914,54,7.675971079725642,9.052171254128032,7.520044623467226,8.28610793879763,Matematica-Informatica
Gheorghiu,Teodor,1970919247051,56,7.80215486507281,8.771618723711143,9.29248592501933,9.032052324365235,Matematica-Informatica
Ioniță,Ionela,6010507191683,58,8.196271451742597,8.378142801562477,7.948606019834717,8.163374410698598,Matematica-Informatica
